sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
94,-57,1,4,9,0,picker-1,,1,,853.0
95,-56,1,21,10,0,,,-3,,
96,-56,1,123,8,0,,,-3,,
97,-55,1,176,6,0,picker-1,,1,0.0,101.0
98,-54,1,0,8,0,picker-3,,1,,454.0
99,-53,1,121,11,0,,,-3,,
100,-52,1,5,6,0,picker-2,,1,,361.0
101,-51,1,413,11,0,picker-1,,1,,457.0
102,-50,1,91,7,0,picker-1,,1,,609.0
103,-49,1,362,8,0,picker-1,,1,,2107.0
104,-48,1,65,5,0,,,-3,,
105,-48,1,43,12,0,,,-3,,
106,-48,1,2,5,0,,,-3,,
107,-47,1,36,4,0,picker-1,,1,,264.0
108,-47,1,400,6,0,picker-1,,1,,371.0
109,-46,1,255,6,0,picker-1,,1,,2633.0
110,-46,1,37,7,0,picker-1,,1,,2653.0
111,-45,1,155,10,0,picker-1,,1,,1133.0
112,-45,1,30,5,0,picker-1,,1,,1167.0
113,-44,1,48,11,0,picker-1,,1,,571.0
114,-43,1,249,4,0,,,-3,,
115,-43,1,37,6,0,,,-3,,
116,-43,1,395,6,0,,,-3,,
117,-43,1,43,1,0,,,-3,,
118,-42,1,41,8,0,picker-1,,1,,661.0
119,-42,1,141,2,0,picker-1,,1,,639.0
120,-42,1,11,4,0,picker-1,,1,,623.0
121,-41,1,244,10,0,picker-1,,1,,905.0
122,-40,1,9,9,0,picker-2,,1,,213.0
123,-39,1,31,1,0,picker-1,,1,,528.0
124,-38,1,41,4,0,picker-1,,1,,413.0
125,-37,1,8,10,0,picker-3,,1,0.0,196.0
126,-36,1,96,9,0,picker-3,,1,,1391.0
127,-35,1,63,4,0,,,-3,,
128,-34,1,19,3,0,picker-2,,1,,1113.0
129,-34,1,23,3,0,picker-2,,1,,1135.0
130,-33,1,235,8,0,,,-3,,
131,-33,1,236,10,0,,,-3,,
132,-33,1,25,2,0,,,-3,,
133,-33,1,28,8,0,,,-3,,
134,-33,1,6,3,0,,,-3,,
135,-33,1,8,10,0,,,-3,,
136,-32,1,175,4,0,picker-3,,1,0.0,98.0
137,-32,1,8,8,0,picker-3,,1,0.0,196.0
138,-31,1,57,10,0,picker-1,,1,,879.0
139,-30,1,28,6,0,,,-3,,
140,-30,1,78,9,0,,,-3,,
141,-30,1,157,6,0,,,-3,,
142,-30,1,31,2,0,,,-3,,
143,-30,1,25,2,0,,,-3,,
144,-29,1,340,8,0,picker-2,,1,,777.0
145,-28,1,129,7,0,,,-3,,
146,-28,1,16,4,0,,,-3,,
147,-27,1,460,4,0,picker-3,,1,,500.0
148,-26,1,32,4,0,,,-3,,
149,-26,1,244,10,0,,,-3,,
150,-26,1,78,7,0,,,-3,,
151,-26,1,168,1,0,,,-3,,
152,-26,1,10,10,0,,,-3,,
153,-26,1,485,10,0,,,-3,,
154,-26,1,439,2,0,,,-3,,
155,-26,1,488,7,0,,,-3,,
156,-25,1,79,8,0,picker-3,,1,0.0,121.0
157,-25,1,96,1,0,picker-3,,1,0.0,102.0
158,-25,1,8,4,0,picker-3,,1,0.0,196.0
159,-24,1,22,7,0,picker-1,,1,,1210.0
160,-24,1,103,8,0,picker-1,,1,,1232.0
161,-23,1,6,6,0,,,-3,,
162,-23,1,59,6,0,,,-3,,
163,-22,1,27,7,0,picker-2,,1,,193.0
164,-21,1,0,9,0,picker-3,,1,,240.0
165,-20,1,441,7,0,,,-3,,
166,-20,1,0,4,0,,,-3,,
167,-20,1,12,9,0,,,-3,,
168,-19,1,34,8,0,picker-3,,1,,390.0
169,-18,1,180,8,0,,,-3,,
170,-18,1,20,8,0,,,-3,,
171,-18,1,34,8,0,,,-3,,
172,-17,1,82,8,0,,,-3,,
173,-17,1,323,6,0,,,-3,,
174,-17,1,98,8,0,,,-3,,
175,-16,1,59,10,0,picker-3,,1,,1602.0
176,-16,1,289,3,0,picker-3,,1,,1579.0
177,-15,1,233,5,0,,,-3,,
178,-15,1,131,2,0,,,-3,,
179,-15,1,242,6,0,,,-3,,
180,-15,1,55,4,0,,,-3,,
181,-14,1,14,5,0,picker-2,,-1,,
182,-13,1,32,8,0,,,-3,,
183,-13,1,66,10,0,,,-3,,
184,-13,1,174,10,0,,,-3,,
185,-13,1,411,10,0,,,-3,,
186,-12,1,0,10,0,picker-3,,1,,454.0
187,-11,1,296,10,0,picker-1,,1,,518.0
188,-10,1,463,1,0,picker-1,,1,,913.0
189,-9,1,141,4,0,,,-3,,
190,-9,1,202,6,0,,,-3,,
191,-8,1,1,2,0,picker-2,,1,0.0,149.0
192,-7,1,156,1,0,,,-3,,
193,-7,1,83,4,0,,,-3,,
194,-7,1,2,4,0,,,-3,,
195,-6,1,119,6,0,picker-1,,1,,711.0
196,-5,1,165,6,0,,,-3,,
197,-5,1,10,5,0,,,-3,,
198,-5,1,86,4,0,,,-3,,
199,-5,1,295,10,0,,,-3,,
200,-5,1,325,3,0,,,-3,,
201,-5,1,275,8,0,,,-3,,
202,-4,1,60,6,0,,,-3,,
203,-4,1,200,10,0,,,-3,,
204,-3,1,233,7,0,picker-3,,1,,256.0
205,-2,1,0,4,0,picker-3,,1,,240.0
206,-1,1,360,7,0,,,-3,,
207,-1,1,10,1,0,,,-3,,
208,-1,1,32,2,0,,,-3,,
209,0,1,19,12,60,picker-3,,1,,664.0
210,0,1,33,7,60,picker-3,,1,,680.0
211,0,1,168,9,60,picker-3,,1,,723.0
212,1,1,2,2,60,picker-2,,1,,332.0
213,2,1,274,5,60,,,-3,,
214,2,1,8,6,60,,,-3,,
215,2,1,199,8,60,,,-3,,
216,2,1,18,5,60,,,-3,,
217,2,1,6,8,60,,,-3,,
218,2,1,7,12,60,,,-3,,
219,3,1,372,4,60,,,-3,,
220,4,1,344,6,60,picker-2,,1,,301.0
221,5,1,172,11,60,,,-3,,
222,5,1,228,9,60,,,-3,,
223,5,1,56,3,60,,,-3,,
224,5,1,18,12,60,,,-3,,
225,6,1,110,10,60,picker-3,,1,,2391.0
226,6,1,62,6,60,picker-3,,1,,2356.0
227,7,1,34,8,60,picker-3,,1,,390.0
228,8,1,1,5,120,picker-2,,1,,507.0
229,9,1,234,6,120,picker-2,,1,,407.0
230,10,1,7,5,120,picker-3,,1,,466.0
231,11,1,12,4,120,picker-1,,1,,2251.0
232,11,1,172,8,120,picker-1,,1,,2283.0
233,11,1,24,4,120,picker-1,,1,,2237.0
234,12,1,192,2,120,,,-3,,
235,12,1,48,8,120,,,-3,,
236,12,1,16,6,120,,,-3,,
237,12,1,1,9,120,,,-3,,
238,12,1,32,2,120,,,-3,,
239,12,1,105,5,120,,,-3,,
240,12,1,2,6,120,,,-3,,
241,12,1,19,7,120,,,-3,,
242,12,1,12,9,120,,,-3,,
243,13,1,3,4,120,,,-3,,
244,13,1,36,3,120,,,-3,,
245,13,1,172,11,120,,,-3,,
246,14,1,64,4,120,picker-2,,1,,525.0
247,15,1,13,4,180,picker-2,,1,,1960.0
248,15,1,35,2,180,picker-2,,1,,1970.0
249,16,1,291,3,180,,,-3,,
250,16,1,139,10,180,,,-3,,
251,17,1,18,6,180,,,-3,,
252,17,1,232,8,180,,,-3,,
253,17,1,9,4,180,,,-3,,
254,17,1,78,4,180,,,-3,,
255,17,1,26,6,180,,,-3,,
256,17,1,280,1,180,,,-3,,
257,17,1,201,8,180,,,-3,,
258,18,1,22,10,180,picker-2,,1,,615.0
259,19,1,103,6,180,picker-1,,1,,1151.0
260,20,1,4,9,180,picker-1,,1,,756.0
261,21,1,151,8,180,,,-3,,
262,22,1,4,3,180,,,-3,,
263,22,1,299,8,180,,,-3,,
264,22,1,12,6,180,,,-3,,
265,22,1,479,4,180,,,-3,,
266,23,1,4,7,180,,,-3,,
267,23,1,429,1,180,,,-3,,
268,23,1,15,2,180,,,-3,,
269,23,1,161,10,180,,,-3,,
270,24,1,29,4,180,picker-3,,1,,758.0
271,25,1,41,11,180,picker-1,,1,,399.0
272,26,1,9,9,240,picker-3,,1,,748.0
273,27,1,46,12,240,picker-2,,1,,589.0
274,27,1,32,4,240,picker-2,,1,,647.0
275,28,1,180,11,240,,,-3,,
276,28,1,15,8,240,,,-3,,
277,28,1,303,4,240,,,-3,,
278,28,1,125,4,240,,,-3,,
279,28,1,324,6,240,,,-3,,
280,29,1,14,11,240,,,-3,,
281,29,1,241,8,240,,,-3,,
282,29,1,127,7,240,,,-3,,
283,29,1,360,9,240,,,-3,,
284,29,1,59,6,240,,,-3,,
285,30,1,5,2,240,picker-2,,1,,826.0
286,31,1,12,10,240,,,-3,,
287,31,1,29,10,240,,,-3,,
288,32,1,456,6,240,picker-2,,1,,892.0
289,33,1,11,2,240,picker-1,,1,,2796.0
290,33,1,198,6,240,picker-1,,1,,2836.0
291,34,1,14,6,300,picker-2,,1,,665.0
292,35,1,8,3,300,,,-3,,
293,35,1,15,6,300,,,-3,,
294,35,1,9,8,300,,,-3,,
295,35,1,347,10,300,,,-3,,
296,35,1,25,8,300,,,-3,,
297,35,1,31,8,300,,,-3,,
298,36,1,0,5,300,picker-1,,1,,1729.0
299,36,1,116,10,300,picker-1,,1,,1713.0
300,37,1,77,5,300,picker-2,,1,,926.0
301,37,1,105,3,300,picker-2,,1,,937.0
302,38,1,4,1,300,picker-1,,1,,589.0
303,39,1,104,7,300,,,-3,,
304,40,1,35,7,300,picker-2,,1,,748.0
305,41,1,44,1,300,,,-3,,
306,41,1,0,10,300,,,-3,,
307,41,1,99,10,300,,,-3,,
308,41,1,136,3,300,,,-3,,
309,42,1,4,2,300,picker-2,,1,,1019.0
310,42,1,9,10,300,picker-2,,1,,1007.0
311,43,1,87,10,360,picker-2,,1,,1244.0
312,44,1,66,7,360,picker-3,,1,,582.0
313,45,1,157,9,360,,,-3,,
314,46,1,15,7,360,,,-3,,
315,46,1,329,2,360,,,-3,,
316,46,1,415,7,360,,,-3,,
317,46,1,9,2,360,,,-3,,
318,46,1,13,2,360,,,-3,,
319,47,1,183,6,360,,,-3,,
320,47,1,39,4,360,,,-3,,
321,47,1,4,4,360,,,-3,,
322,48,1,7,6,360,picker-2,,1,,633.0
323,49,1,163,10,360,picker-3,,1,,1360.0
324,49,1,43,5,360,picker-3,,1,,1311.0
325,50,1,42,8,420,,,-3,,
326,50,1,72,10,420,,,-3,,
327,50,1,31,12,420,,,-3,,
328,50,1,14,10,420,,,-3,,
329,51,1,13,4,420,picker-1,,1,,950.0
330,52,1,122,3,420,,,-3,,
331,52,1,323,10,420,,,-3,,
332,53,1,63,9,420,,,-3,,
333,54,1,75,6,480,picker-1,,1,,2354.0
334,55,1,0,7,480,picker-3,,1,,1063.0
335,56,1,11,6,480,picker-1,,1,,841.0
336,57,1,324,6,480,,,-3,,
337,57,1,70,6,480,,,-3,,
338,57,1,12,5,480,,,-3,,
339,58,1,0,8,480,picker-3,,1,,779.0
340,59,1,11,7,480,,,-3,,
341,59,1,81,8,480,,,-3,,
342,59,1,206,6,480,,,-3,,
343,59,1,69,4,480,,,-3,,
344,59,1,275,4,480,,,-3,,
345,59,1,77,4,480,,,-3,,
346,59,1,98,3,480,,,-3,,
347,59,1,446,6,480,,,-3,,
348,59,1,10,6,480,,,-3,,
349,60,1,19,4,480,picker-3,,1,,1074.0
350,60,1,1,7,480,picker-3,,1,,1039.0
351,61,1,42,12,480,picker-1,,1,,786.0
352,62,1,9,6,540,picker-2,,1,,910.0
353,63,1,7,6,540,picker-3,,1,,911.0
354,64,1,385,3,540,,,-3,,
355,64,1,90,9,540,,,-3,,
356,64,1,3,10,540,,,-3,,
357,64,1,218,3,540,,,-3,,
358,65,1,1,5,540,picker-3,,1,,954.0
359,66,1,24,8,540,,,-3,,
360,66,1,174,8,540,,,-3,,
361,67,1,100,1,540,,,-3,,
362,68,1,19,5,540,picker-3,,1,,1152.0
363,68,1,311,2,540,picker-3,,1,,1158.0
364,69,1,491,8,540,,,-3,,
365,69,1,31,9,540,,,-3,,
366,69,1,70,7,540,,,-3,,
367,70,1,97,6,540,,,-3,,
368,70,1,11,6,540,,,-3,,
369,71,1,42,7,540,picker-1,,1,,806.0
370,72,1,140,6,600,picker-3,,1,,2713.0
371,72,1,38,5,600,picker-3,,1,,2713.0
372,73,1,53,7,600,,,-3,,
373,73,1,194,8,600,,,-3,,
374,74,1,156,3,600,,,-3,,
375,74,1,295,7,600,,,-3,,
376,74,1,80,4,600,,,-3,,
377,74,1,39,3,600,,,-3,,
378,74,1,51,6,600,,,-3,,
379,75,1,17,3,600,,,-3,,
380,75,1,6,7,600,,,-3,,
381,75,1,55,9,600,,,-3,,
382,76,1,8,6,600,picker-3,,1,,821.0
383,77,1,18,4,660,picker-1,,1,,1329.0
384,78,1,22,3,660,picker-1,,1,,1439.0
385,79,1,480,3,660,picker-3,,1,,1524.0
386,80,1,18,7,660,picker-2,,1,,1316.0
387,81,1,100,4,660,picker-1,,1,,1107.0
388,82,1,129,12,660,,,-3,,
389,82,1,211,8,660,,,-3,,
390,82,1,1,7,660,,,-3,,
391,82,1,140,8,660,,,-3,,
392,82,1,0,2,660,,,-3,,
393,83,1,14,2,660,,,-3,,
394,83,1,104,10,660,,,-3,,
395,83,1,401,3,660,,,-3,,
396,83,1,257,8,660,,,-3,,
397,84,1,24,1,720,picker-1,,1,,1574.0
398,85,1,45,5,720,,,-3,,
399,85,1,38,10,720,,,-3,,
400,85,1,393,6,720,,,-3,,
401,85,1,20,8,720,,,-3,,
402,85,1,31,4,720,,,-3,,
403,86,1,38,3,720,,,-3,,
404,86,1,187,5,720,,,-3,,
405,86,1,404,9,720,,,-3,,
406,87,1,450,7,720,picker-1,,1,,1428.0
407,88,1,3,6,720,picker-2,,1,,955.0
408,89,1,6,8,720,,,-3,,
409,89,1,12,10,720,,,-3,,
410,89,1,0,4,720,,,-3,,
411,90,1,163,2,720,,,-3,,
412,90,1,17,5,720,,,-3,,
413,91,1,12,1,720,,,-3,,
414,91,1,73,8,720,,,-3,,
415,92,1,239,2,720,picker-1,,1,,2065.0
416,93,1,218,1,720,picker-3,,-1,,
417,94,1,10,6,720,picker-1,,1,,1093.0
418,95,1,279,9,720,picker-3,,1,,1972.0
419,96,1,43,6,720,picker-3,,1,,927.0
420,97,1,2,8,780,picker-1,,1,,1075.0
421,98,1,193,5,780,picker-3,,1,,1403.0
422,99,1,312,4,780,picker-1,,1,,1490.0
423,100,1,19,3,780,picker-3,,1,,1047.0
424,101,1,156,1,780,,,-3,,
425,102,1,202,10,780,,,-3,,
426,102,1,36,7,780,,,-3,,
427,102,1,93,2,780,,,-3,,
428,102,1,52,4,780,,,-3,,
429,102,1,189,5,780,,,-3,,
430,103,1,6,8,780,picker-3,,1,,2755.0
431,103,1,5,10,780,picker-3,,1,,2736.0
432,104,1,27,3,780,picker-3,,1,,1232.0
433,105,1,33,7,780,picker-2,,1,,1101.0
434,106,1,419,10,780,,,-3,,
435,107,1,378,8,780,picker-2,,1,,1057.0
436,108,1,13,7,840,,,-3,,
437,108,1,180,12,840,,,-3,,
438,109,1,82,8,840,,,-3,,
439,109,1,98,4,840,,,-3,,
440,110,1,1,6,840,picker-1,,1,,1284.0
441,110,1,74,7,840,picker-1,,1,,1267.0
442,111,1,34,4,840,,,-3,,
443,111,1,389,1,840,,,-3,,
444,111,1,143,2,840,,,-3,,
445,112,1,48,2,840,picker-2,,1,,1260.0
446,113,1,4,8,840,picker-1,,1,,1408.0
447,114,1,39,8,840,picker-1,,1,,1189.0
448,115,1,1,7,900,picker-3,,1,,1174.0
449,116,1,130,2,900,,,-3,,
450,117,1,25,5,900,picker-3,,1,,1536.0
451,117,1,7,6,900,picker-3,,1,,1484.0
452,117,1,1,9,900,picker-3,,1,,1484.0
453,117,1,46,6,900,picker-3,,1,,1440.0
454,117,1,17,6,900,picker-3,,1,,1511.0
455,118,1,174,9,900,picker-3,,1,,1845.0
456,118,1,4,5,900,picker-3,,1,,1820.0
457,119,1,12,8,900,picker-1,,1,,1687.0
458,120,1,349,2,900,picker-1,,1,,1547.0
459,121,1,233,3,960,picker-3,,1,,2304.0
460,122,1,203,8,960,,,-3,,
461,123,1,49,1,960,,,-3,,
462,123,1,15,10,960,,,-3,,
463,123,1,61,12,960,,,-3,,
464,123,1,1,7,960,,,-3,,
465,123,1,9,8,960,,,-3,,
466,123,1,6,5,960,,,-3,,
467,124,1,317,6,960,picker-3,,1,,1723.0
468,125,1,185,9,960,picker-2,,1,,1574.0
469,125,1,35,11,960,picker-2,,1,,1530.0
470,126,1,110,6,960,,,-3,,
471,126,1,1,6,960,,,-3,,
472,126,1,6,4,960,,,-3,,
473,127,1,91,7,960,,,-3,,
474,128,1,154,4,960,picker-3,,1,,1637.0
475,129,1,261,3,1020,picker-1,,1,,2295.0
476,130,1,0,6,1020,picker-2,,1,,1283.0
477,131,1,28,2,1020,,,-3,,
478,131,1,89,7,1020,,,-3,,
479,131,1,21,10,1020,,,-3,,
480,131,1,7,8,1020,,,-3,,
481,132,1,9,9,1080,picker-1,,1,,2378.0
482,132,1,173,8,1080,picker-1,,1,,2471.0
483,133,1,5,8,1080,,,-3,,
484,133,1,47,10,1080,,,-3,,
485,134,1,42,8,1080,,,-3,,
486,134,1,170,12,1080,,,-3,,
487,134,1,13,8,1080,,,-3,,
488,135,1,127,11,1080,,,-3,,
489,135,1,347,6,1080,,,-3,,
490,136,1,47,4,1080,,,-3,,
491,136,1,6,11,1080,,,-3,,
492,136,1,285,8,1080,,,-3,,
493,137,1,1,11,1080,,,-3,,
494,137,1,156,4,1080,,,-3,,
495,137,1,5,2,1080,,,-3,,
496,138,1,52,4,1080,picker-2,,1,,1841.0
497,139,1,1,8,1080,,,-3,,
498,139,1,303,9,1080,,,-3,,
499,139,1,128,4,1080,,,-3,,
500,139,1,13,7,1080,,,-3,,
501,140,1,14,10,1080,picker-2,,1,,1377.0
502,140,1,5,3,1080,picker-2,,1,,1377.0
503,141,1,0,8,1080,picker-1,,1,,2932.0
504,141,1,284,11,1080,picker-1,,1,,2960.0
505,142,1,188,5,1080,picker-2,,-1,,
506,143,1,0,4,1080,,,-3,,
507,143,1,58,10,1080,,,-3,,
508,143,1,260,1,1080,,,-3,,
509,143,1,354,4,1080,,,-3,,
510,144,1,17,6,1080,picker-2,,1,,1654.0
511,145,1,15,2,1080,picker-3,,1,,1892.0
512,146,1,8,7,1080,picker-2,,1,,1411.0
513,147,1,9,9,1080,picker-1,,1,,1374.0
514,148,1,19,7,1140,picker-3,,1,,1618.0
515,149,1,145,7,1140,picker-1,,1,,1645.0
516,150,1,54,9,1140,picker-3,,1,,1790.0
517,151,1,18,6,1140,picker-2,,1,,1502.0
518,152,1,290,8,1140,picker-1,,1,,2615.0
519,153,1,0,8,1140,picker-1,,1,,1832.0
520,153,1,85,6,1140,picker-1,,1,,1850.0
521,154,1,180,4,1140,picker-2,,1,,1588.0
522,155,1,42,3,1140,picker-1,,1,,1759.0
523,155,1,13,6,1140,picker-1,,1,,1747.0
524,155,1,29,9,1140,picker-1,,1,,1783.0
525,156,1,219,10,1140,picker-3,,1,,1426.0
526,157,1,152,6,1140,picker-1,,1,,1392.0
527,158,1,211,8,1200,,,-3,,
528,158,1,5,8,1200,,,-3,,
529,158,1,118,7,1200,,,-3,,
530,158,1,35,7,1200,,,-3,,
531,158,1,88,2,1200,,,-3,,
532,159,1,170,9,1200,,,-3,,
533,159,1,119,3,1200,,,-3,,
534,159,1,497,5,1200,,,-3,,
535,160,1,1,10,1200,picker-1,,-1,,
536,160,1,103,6,1200,picker-1,,-1,,
537,161,1,8,5,1200,picker-1,,1,,1995.0
538,161,1,18,5,1200,picker-1,,1,,1897.0
539,162,1,42,5,1200,picker-3,,1,,1496.0
540,163,1,68,4,1200,picker-2,,1,,1991.0
541,164,1,40,6,1200,,,-3,,
542,164,1,24,12,1200,,,-3,,
543,164,1,16,2,1200,,,-3,,
544,164,1,160,4,1200,,,-3,,
545,164,1,50,10,1200,,,-3,,
546,165,1,3,3,1200,picker-2,,1,,1931.0
547,165,1,5,11,1200,picker-2,,1,,1913.0
548,166,1,102,2,1260,,,-3,,
549,166,1,12,6,1260,,,-3,,
550,166,1,24,8,1260,,,-3,,
551,167,1,29,6,1260,picker-1,,1,,2209.0
552,167,1,6,10,1260,picker-1,,1,,2209.0
553,167,1,17,4,1260,picker-1,,1,,2223.0
554,168,1,141,8,1260,,,-3,,
555,168,1,35,6,1260,,,-3,,
556,168,1,386,11,1260,,,-3,,
557,169,1,7,7,1260,picker-2,,1,,1550.0
558,170,1,66,10,1260,picker-1,,1,,1809.0
559,171,1,265,8,1260,,,-3,,
560,171,1,76,9,1260,,,-3,,
561,171,1,24,7,1260,,,-3,,
562,172,1,193,8,1260,,,-3,,
563,173,1,465,7,1260,,,-3,,
564,174,1,117,8,1320,picker-2,,1,,2118.0
565,175,1,285,7,1320,picker-2,,1,,2723.0
566,176,1,21,10,1320,picker-1,,1,,1979.0
567,176,1,431,7,1320,picker-1,,1,,2015.0
568,177,1,29,9,1320,picker-1,,1,,1537.0
569,178,1,14,3,1320,picker-3,,-1,,
570,178,1,10,2,1320,picker-3,,-1,,
571,178,1,169,3,1320,picker-3,,-1,,
572,179,1,307,2,1320,picker-2,,1,,2733.0
573,180,1,75,2,1380,picker-1,,1,,2571.0
574,181,1,97,8,1380,picker-3,,1,,2520.0
575,182,1,23,10,1380,picker-3,,1,,1867.0
576,183,1,262,5,1380,,,-3,,
577,183,1,66,6,1380,,,-3,,
578,183,1,3,6,1380,,,-3,,
579,184,1,31,7,1380,picker-1,,1,,1664.0
580,185,1,59,6,1380,,,-3,,
581,185,1,207,1,1380,,,-3,,
582,185,1,104,3,1380,,,-3,,
583,185,1,322,11,1380,,,-3,,
584,186,1,25,4,1380,picker-3,,1,,1637.0
585,187,1,171,5,1380,picker-3,,1,,1657.0
586,188,1,109,9,1380,picker-2,,1,,1678.0
587,188,1,52,6,1380,picker-2,,1,,1636.0
588,189,1,357,7,1380,,,-3,,
589,189,1,55,2,1380,,,-3,,
590,190,1,394,3,1380,picker-2,,1,,2034.0
591,191,1,143,12,1380,,,-3,,
592,191,1,473,2,1380,,,-3,,
593,192,1,11,10,1380,picker-2,,1,,2330.0
594,193,1,330,9,1380,,,-3,,
595,193,1,213,11,1380,,,-3,,
596,194,1,34,10,1380,picker-3,,1,,1915.0
597,195,1,236,8,1440,picker-2,,1,,1819.0
598,196,1,58,4,1440,,,-3,,
599,196,1,50,12,1440,,,-3,,
600,196,1,29,6,1440,,,-3,,
601,196,1,79,10,1440,,,-3,,
602,197,1,432,4,1440,picker-3,,1,,2114.0
603,198,1,39,9,1440,picker-2,,1,,1719.0
604,199,1,53,4,1440,,,-3,,
605,199,1,41,11,1440,,,-3,,
606,200,1,162,9,1440,picker-1,,-1,,
607,200,1,0,1,1440,picker-1,,-1,,
608,201,1,30,7,1440,picker-3,,1,,2194.0
609,201,1,20,10,1440,picker-3,,1,,2178.0
610,202,1,198,6,1440,,,-3,,
611,203,1,187,6,1440,,,-3,,
612,203,1,36,5,1440,,,-3,,
613,204,1,68,4,1500,,,-3,,
614,205,1,9,1,1500,picker-2,,1,,1827.0
615,206,1,56,6,1500,,,-3,,
616,206,1,98,3,1500,,,-3,,
617,207,1,305,12,1560,picker-2,,1,,2882.0
